,count,mean,std,min,1%,50%,95%,99%,max
URLCharProb,176527.0,0.055765904302786544,0.010575667732122998,0.001082764,0.02290588776,0.057980202,0.06921134069999998,0.07381687217999998,0.090823664
CharContinuationRate,176527.0,0.8456861327638264,0.21632538766703607,0.0,0.25,1.0,1.0,1.0,1.0
URLTitleMatchScore,176527.0,52.17765434579022,49.59410652922039,0.0,0.0,100.0,100.0,100.0,100.0
DomainTitleMatchScore,176527.0,50.19007925126435,49.673340656222514,0.0,0.0,75.0,100.0,100.0,100.0
LineOfCode,176527.0,1146.7982858146345,3628.937926928637,2.0,2.0,431.0,4385.0,10416.479999999981,442666.0
LargestLineLength,176527.0,12790.382321118015,152819.56297226655,23.0,30.0,1096.0,26846.699999999983,126308.07999999542,13975732.0
HasTitle,176527.0,0.8615679187886273,0.3453538992777349,0.0,0.0,1.0,1.0,1.0,1.0
HasFavicon,176527.0,0.3620465991038198,0.48059355758673206,0.0,0.0,0.0,1.0,1.0,1.0
Robots,176527.0,0.26725090212828634,0.4425256679366317,0.0,0.0,0.0,1.0,1.0,1.0
IsResponsive,176527.0,0.6248675839956493,0.4841584599721668,0.0,0.0,1.0,1.0,1.0,1.0
NoOfURLRedirect,176527.0,0.133231743585967,0.33982598528392427,0.0,0.0,0.0,1.0,1.0,1.0
NoOfSelfRedirect,176527.0,0.03995422796512715,0.19585225279779403,0.0,0.0,0.0,0.0,1.0,1.0
HasDescription,176527.0,0.44073711103683855,0.49647689404252915,0.0,0.0,0.0,1.0,1.0,1.0
NoOfPopup,176527.0,0.2280274405615005,4.124425913055559,0.0,0.0,0.0,1.0,4.0,602.0
NoOfiFrame,176527.0,1.5870093526769276,5.951310689201901,0.0,0.0,0.0,8.0,21.0,1602.0
HasExternalFormSubmit,176527.0,0.04401592957451268,0.2051310943965962,0.0,0.0,0.0,0.0,1.0,1.0
HasSocialNet,176527.0,0.4577316784401253,0.4982115967071952,0.0,0.0,0.0,1.0,1.0,1.0
HasSubmitButton,176527.0,0.4155341675777643,0.49281527873959047,0.0,0.0,0.0,1.0,1.0,1.0
HasHiddenFields,176527.0,0.3781631138579368,0.4849300004189244,0.0,0.0,0.0,1.0,1.0,1.0
HasPasswordField,176527.0,0.10230729576778623,0.30305285556595407,0.0,0.0,0.0,1.0,1.0,1.0
Bank,176527.0,0.12728364499481665,0.3332913859997966,0.0,0.0,0.0,1.0,1.0,1.0
Pay,176527.0,0.2370005721504359,0.4252438422127347,0.0,0.0,0.0,1.0,1.0,1.0
Crypto,176527.0,0.02341851388172914,0.15122902051451578,0.0,0.0,0.0,0.0,1.0,1.0
HasCopyrightInfo,176527.0,0.4879763435621746,0.49985682659024955,0.0,0.0,0.0,1.0,1.0,1.0
NoOfImage,176527.0,26.0455001217944,76.74960034455162,0.0,0.0,9.0,96.0,243.0,8956.0
NoOfCSS,176527.0,6.3977465203623245,86.2572387710391,0.0,0.0,2.0,26.0,51.0,35820.0
NoOfJS,176527.0,10.551519031083064,24.018081790453177,0.0,0.0,6.0,38.0,64.0,6957.0
NoOfSelfRef,176527.0,65.09248443580869,168.64711955649113,0.0,0.0,12.0,253.0,515.7399999999907,26596.0
NoOfEmptyRef,176527.0,2.393350592260674,18.80552312859351,0.0,0.0,0.0,10.0,31.0,4887.0
NoOfExternalRef,176527.0,49.28607521795533,152.88696345056223,0.0,0.0,10.0,208.0,424.0,24525.0
